user_id,plan,signup_date,churn_date,monthly_fee,country
55,Standard,2023-05-01,,199,Germany
56,Premium,2023-05-12,2023-05-05,199,Australia
57,Basic,2023-12-04,,199,India
58,Basic,2023-07-16,,199,Germany
59,Basic,2023-01-19,,799,Germany
60,Basic,2023-05-10,,199,US
61,Basic,2023-01-12,,199,UK
62,Basic,2023-03-22,2023-11-30,799,Australia
63,Premium,2023-11-26,,399,Germany
64,Basic,2023-12-20,,399,Australia
65,Basic,2023-09-19,,,Germany
66,Standard,2023-05-05,,799,
67,Basic,2023-11-03,2023-12-22,199,US
68,Premium,2023-09-24,,399,UK
69,Basic,2023-05-20,,,India
70,,2023-11-25,,199,India
71,Premium,2023-01-02,,199,
72,Basic,2023-01-08,,199,US
73,Basic,2023-09-07,,199,Germany
74,Premium,2023-05-19,,399,US
75,Standard,2023-05-04,,799,UK
76,Standard,2023-11-05,,,India
77,Premium,2023-08-16,,799,Australia
78,Basic,2023-01-10,,199,India
79,Basic,2023-07-31,,199,UK
80,Basic,2023-04-22,2023-04-18,,Germany
81,Premium,2023-01-08,,199,US
82,Standard,2023-10-19,2023-04-07,199,India
83,Basic,2023-12-28,,799,India
84,Basic,2023-09-10,,399,Australia
85,Basic,2023-01-14,,199,US
86,Basic,2023-08-28,,799,Australia
87,Standard,2023-08-30,2023-07-25,,Australia
88,Standard,2023-12-08,,199,Germany
89,Premium,2023-05-29,,799,India
90,Standard,2023-08-24,,199,
91,Basic,2023-11-02,2023-12-17,399,US
92,Standard,2023-06-16,,799,Germany
93,Premium,2023-01-20,,,
94,Standard,2023-08-04,,199,Germany
95,Premium,2023-12-09,,199,Germany
96,Standard,2023-05-15,,199,UK
97,Standard,2023-05-09,,399,UK
98,Basic,2023-10-21,,199,Germany
99,Basic,2023-09-03,,199,UK
100,Basic,2023-07-08,2023-07-21,199,US
101,Basic,2023-02-13,,199,India
102,Standard,2023-03-27,,199,
103,Basic,2023-02-13,2023-10-12,799,US
104,Standard,2023-11-26,2023-04-03,199,India
105,Premium,2023-05-25,,199,UK
106,Basic,2023-02-20,2023-11-28,799,
107,Basic,2023-08-30,,399,US
108,Premium,2023-10-21,2024-03-08,199,Australia
109,Basic,2023-02-20,,199,Germany
110,Basic,2023-09-23,2023-10-03,399,India
111,Basic,2023-04-30,2023-08-10,199,India
112,Basic,2023-07-19,,799,Australia
113,Premium,2023-09-05,,199,Australia
114,Premium,2023-03-11,2023-12-25,199,Germany
115,Standard,2023-12-07,,399,UK
116,Premium,2023-02-26,,399,US
117,Premium,2023-02-08,,799,US
118,Basic,2023-10-16,,199,US
119,Premium,2023-01-18,,399,UK
120,Standard,2023-08-08,,199,Germany
121,Premium,2023-11-09,,399,US
122,Premium,2023-09-01,2023-04-11,799,India
123,Basic,2023-12-18,,199,India
124,Basic,2023-10-31,,799,India
125,Basic,2023-10-25,,399,Australia
126,Basic,2023-10-10,,799,Australia
127,Premium,2023-03-15,,799,UK
128,Premium,2023-04-20,,199,US
129,Basic,2023-06-29,,199,Australia
130,Standard,2023-02-01,,199,India
131,Basic,2023-08-22,,199,Australia
132,Basic,2023-10-09,,399,India
133,Basic,2023-01-25,,399,US
134,Basic,2023-11-27,2024-01-31,,UK
135,Premium,2023-10-06,,199,Germany
136,Basic,2023-08-14,,799,Germany
137,Standard,2023-02-26,,799,India
138,Standard,2023-06-29,2023-09-16,799,Australia
139,Basic,2023-08-20,,199,Australia
140,,2023-12-09,,399,India
141,,2023-10-14,,199,US
142,Basic,2023-03-05,,199,India
143,Standard,2023-08-20,,199,US
144,Basic,2023-10-16,2023-04-03,799,UK
145,Basic,2023-08-01,2023-11-23,399,UK
146,Basic,2023-09-15,,399,India
147,Standard,2023-01-18,,,UK
148,Standard,2023-06-24,2023-10-02,199,Australia
149,Basic,2023-08-17,2023-02-06,399,US
150,Basic,2023-08-14,2024-02-27,799,Germany
151,Premium,2023-03-25,,199,Germany
152,Basic,2023-10-18,2023-10-17,399,UK
153,Basic,2023-09-03,,199,US
154,Standard,2023-04-20,,799,Australia
155,,2023-09-11,2023-04-29,199,Germany
156,Basic,2023-03-29,,199,Australia
157,Standard,2023-03-13,2023-07-26,399,Australia
158,Premium,2023-01-30,,199,Germany
159,Basic,2023-06-21,2023-08-22,199,Germany
160,Standard,2023-11-05,,199,UK
161,Basic,2023-12-09,,199,US
162,Standard,2023-06-26,2023-06-13,399,India
163,Standard,2023-05-19,2023-04-22,399,US
164,Standard,2023-07-13,,399,India
165,Basic,2023-07-05,2023-02-20,399,Germany
166,Premium,2023-08-06,,199,Australia
167,Basic,2023-06-13,,199,US
168,Basic,2023-06-10,,799,Australia
169,Basic,2023-01-13,,799,US
170,Standard,2023-10-23,,199,
171,Standard,2023-03-30,,199,US
172,Basic,2023-11-20,,399,Australia
173,Standard,2023-02-11,2024-03-04,399,
174,Basic,2023-07-29,2023-06-07,399,UK
175,Standard,2023-08-17,,199,Germany
176,Basic,2023-12-16,,399,UK
177,Standard,2023-10-02,,199,UK
178,Basic,2023-10-06,2023-08-13,399,US
179,Premium,2023-09-08,,799,Germany
180,Basic,2023-11-06,2023-08-12,399,
181,Basic,2023-07-27,2023-08-02,199,US
182,Basic,2023-11-17,,,India
183,Premium,2023-05-20,2023-10-04,799,US
184,Premium,2023-10-07,,799,
185,Basic,2023-02-03,,199,Australia
186,Standard,2023-11-05,,199,US
187,Premium,2023-01-18,,799,India
188,Standard,2023-02-26,2024-01-26,399,US
189,Standard,2023-04-22,2024-01-25,799,
190,Basic,2023-01-05,,199,India
191,Basic,2023-07-01,,199,Germany
192,Premium,2023-01-13,,,
193,Premium,2023-12-05,2023-12-20,399,US
194,Standard,2023-10-12,,199,India
195,Basic,2023-09-16,,199,
196,Basic,2023-03-31,,399,Germany
197,Standard,2023-04-14,,199,Australia
198,Premium,2023-07-05,2023-07-09,399,UK
199,Premium,2023-09-07,2023-08-12,199,India
200,Premium,2023-09-12,,799,Australia
201,Standard,2023-03-17,,199,Germany
202,Basic,2023-04-18,2023-05-20,,Australia
203,Basic,2023-06-05,,199,US
204,Premium,2023-03-23,2024-03-18,399,UK
205,Standard,2023-03-18,2023-04-06,199,India
206,Basic,2023-09-15,,399,
207,Basic,2023-05-07,2024-03-23,,Germany
208,Standard,2023-10-09,,799,UK
209,Basic,2023-03-29,,399,Germany
210,Basic,2023-07-23,2023-10-11,399,Australia
211,Standard,2023-01-16,2023-11-09,799,Germany
212,Standard,2023-05-31,,799,Germany
213,Standard,2023-09-11,2023-03-31,,Australia
214,Basic,2023-07-07,,199,Australia
215,Standard,2023-11-25,,,UK
216,Basic,2023-02-01,,199,India
217,Basic,2023-09-28,,199,Australia
218,Standard,2023-01-05,2023-05-28,199,UK
219,Standard,2023-11-26,2023-03-15,199,Germany
220,Premium,2023-11-04,2023-08-28,799,Germany
221,Standard,2023-11-29,,799,
222,Standard,2023-06-18,,799,US
223,Basic,2023-06-30,2023-03-07,399,Australia
224,Basic,2023-06-27,2023-02-18,399,UK
225,Basic,2023-05-23,,399,
226,Basic,2023-12-28,,199,UK
227,,2023-09-05,,799,India
228,Basic,2023-05-07,,399,
229,Premium,2023-09-20,,399,UK
230,Standard,2023-02-09,,399,Australia
231,Premium,2023-12-21,,799,UK
232,Standard,2023-09-12,,199,US
233,Standard,2023-05-23,,199,Germany
234,Standard,2023-08-28,2023-05-01,799,Germany
235,Basic,2023-08-16,2023-11-27,399,
236,Standard,2023-12-07,,799,UK
237,Basic,2023-07-17,,199,UK
238,Basic,2023-03-06,,199,UK
239,Standard,2023-01-11,2023-08-30,799,UK
240,Basic,2023-04-18,,399,US
241,Premium,2023-01-26,,399,Australia
242,,2023-05-31,2024-03-10,199,US
243,Premium,2023-08-09,,199,US
244,Basic,2023-12-07,,399,US
245,Basic,2023-08-25,,199,Germany
246,Premium,2023-08-25,,799,US
247,Basic,2023-08-07,,799,UK
248,,2023-05-31,,199,US
249,,2023-05-03,,399,UK
250,Premium,2023-05-24,,399,
251,Basic,2023-07-08,,199,Australia
252,Basic,2023-09-12,,199,Germany
253,Premium,2023-03-09,2024-03-12,199,Australia
254,Basic,2023-04-14,,399,
255,Basic,2023-12-02,,399,Australia
256,Standard,2023-06-08,,399,Germany
257,Premium,2023-11-05,,799,UK
258,Standard,2023-12-28,2023-09-09,799,
259,Standard,2023-10-27,,399,
260,Basic,2023-03-31,2023-09-04,799,UK
261,Standard,2023-12-23,2023-09-10,199,UK
262,,2023-09-13,,799,Germany
263,Basic,2023-12-19,2024-03-16,399,US
264,Standard,2023-08-08,,799,India
265,Premium,2023-01-09,,399,US
266,Standard,2023-01-12,,199,US
267,Standard,2023-11-21,,399,Australia
268,Standard,2023-09-01,2023-05-08,199,India
269,Basic,2023-07-01,2023-02-18,399,UK
270,Basic,2023-10-11,,399,US
271,Premium,2023-11-08,,799,Germany
272,Premium,2023-04-09,,399,US
273,Premium,2023-07-16,,399,UK
274,Premium,2023-08-14,2023-11-23,199,US
275,Standard,2023-11-29,,,
276,Standard,2023-04-13,,799,Australia
277,Premium,2023-04-16,2023-02-25,799,Australia
278,Standard,2023-12-31,2023-02-27,199,US
279,Standard,2023-02-27,2023-04-04,399,Australia
280,Premium,2023-03-19,2023-12-20,199,Germany
281,Premium,2023-03-16,,399,India
282,Basic,2023-02-11,2023-09-10,199,US
283,Basic,2023-11-20,2023-04-20,399,Germany
284,Basic,2023-06-30,2023-03-22,399,
285,Standard,2023-02-02,,199,Germany
286,Basic,2023-03-12,,399,Germany
287,Standard,2023-02-25,2023-05-12,799,
288,Standard,2023-04-15,,199,UK
289,Basic,2023-07-19,2023-07-25,799,US
290,Standard,2023-04-11,,199,US
291,Basic,2023-09-13,2023-02-09,199,US
292,Basic,2023-11-03,,199,India
293,Premium,2023-03-15,,799,Germany
294,Basic,2023-06-20,,199,US
295,Basic,2023-05-23,2023-09-24,799,Australia
296,Standard,2023-06-15,,399,UK
297,Premium,2023-09-18,,199,
298,Basic,2023-08-09,2023-05-10,399,
299,Standard,2023-03-24,,199,India
300,Basic,2023-07-01,2024-02-12,799,
301,Basic,2023-11-03,2023-09-15,199,UK
302,Standard,2023-01-10,2024-03-08,199,Germany
303,Standard,2023-01-04,,799,
304,Standard,2023-12-17,,,
305,Standard,2023-12-02,,199,Australia
306,,2023-10-19,2023-04-04,799,Germany
307,Standard,2023-10-08,,199,US
308,Basic,2023-08-03,2024-02-14,799,UK
309,Premium,2023-04-08,,399,
310,Basic,2023-04-11,,199,Australia
311,Basic,2023-01-09,2023-02-18,199,UK
312,Basic,2023-03-02,,199,India
313,Basic,2023-11-05,,199,Australia
314,,2023-05-26,,199,India
315,Premium,2023-03-04,,399,
316,Standard,2023-05-01,,,Australia
317,Basic,2023-08-14,,199,US
318,Basic,2023-04-15,,399,UK
319,Basic,2023-09-17,2023-12-28,399,UK
320,Basic,2023-12-15,,799,Germany
321,Standard,2023-09-12,,399,Australia
322,Standard,2023-07-26,2023-12-14,399,Australia
323,Standard,2023-01-28,2023-06-20,399,India
324,Basic,2023-06-19,,199,Australia
325,,2023-12-02,,199,UK
326,Standard,2023-03-17,,199,Australia
327,Standard,2023-04-26,2023-02-24,199,Germany
328,Standard,2023-03-10,,399,Germany
329,Basic,2023-12-20,2023-09-15,199,UK
330,Basic,2023-08-22,,399,UK
331,Basic,2023-01-01,,199,UK
332,Premium,2023-06-16,2023-04-29,799,Australia
333,Basic,2023-12-18,,799,Australia
334,Basic,2023-08-06,,199,US
335,Basic,2023-09-30,,199,
336,Basic,2023-09-08,,399,
337,Premium,2023-12-13,,199,India
338,Standard,2023-12-10,,199,Australia
339,Standard,2023-06-23,2023-05-02,199,US
340,Basic,2023-06-19,2023-03-13,799,US
341,Standard,2023-09-03,2024-02-07,799,Germany
342,Standard,2023-03-31,,399,Australia
343,Basic,2023-02-18,,399,US
344,Basic,2023-10-21,,799,Germany
345,Basic,2023-05-30,,799,India
346,Standard,2023-05-12,,,Germany
347,Standard,2023-02-28,,199,India
348,Basic,2023-11-20,,199,
349,Basic,2023-07-18,,399,
350,Standard,2023-08-03,,399,UK
351,Standard,2023-02-18,2023-11-21,199,UK
352,Premium,2023-08-20,,199,Germany
353,Standard,2023-09-04,2024-03-19,799,UK
354,Basic,2023-08-27,2024-02-23,799,Australia
355,Basic,2023-06-17,,199,Germany
356,Standard,2023-02-17,,799,US
357,Basic,2023-02-20,,399,Australia
358,Standard,2023-10-26,,799,Germany
359,Premium,2023-04-08,,199,
360,Standard,2023-08-04,2023-04-21,199,India
361,Basic,2023-06-26,,199,UK
362,Standard,2023-03-21,,399,UK
363,Standard,2023-07-04,,399,UK
364,Standard,2023-01-27,,199,Germany
365,Premium,2023-07-14,,,Australia
366,Basic,2023-08-02,2024-03-07,199,India
367,,2023-12-08,,199,UK
368,Premium,2023-04-24,,399,Australia
369,Basic,2023-08-30,,399,US
370,Basic,2023-05-04,2023-05-17,199,
371,Basic,2023-11-01,,799,US
372,Basic,2023-03-17,,399,India
373,Basic,2023-11-07,2023-05-21,399,UK
374,Standard,2023-11-08,,399,US
375,Basic,2023-07-15,2023-11-03,199,
376,Basic,2023-12-17,,399,Australia
377,Premium,2023-02-13,,799,Australia
378,Basic,2023-07-05,,199,US
379,Premium,2023-12-09,,199,UK
380,Basic,2023-09-03,2023-09-01,799,
381,Basic,2023-03-25,,199,India
382,Standard,2023-07-26,,399,UK
383,Standard,2023-05-31,2023-09-18,,Germany
384,Premium,2023-06-05,,199,US
385,Standard,2023-01-16,,199,Germany
386,Premium,2023-06-14,2023-12-02,799,US
387,Basic,2023-05-25,2023-05-31,799,India
388,Basic,2023-02-06,2023-06-13,399,UK
389,Premium,2023-11-29,,399,
390,Premium,2023-02-14,,799,UK
391,,2023-07-25,,399,US
392,Basic,2023-03-03,,199,Australia
393,Basic,2023-12-22,,199,Germany
394,Premium,2023-11-04,,399,
395,Basic,2023-01-19,2023-12-02,799,
396,Premium,2023-12-31,,799,UK
397,Premium,2023-10-27,,,UK
398,Basic,2023-01-07,,799,US
399,Premium,2023-09-06,,399,Australia
400,Premium,2023-04-27,,199,Germany
401,Basic,2023-03-09,,799,Australia
402,Premium,2023-02-03,2023-08-26,399,
403,Standard,2023-07-13,,399,Australia
404,Premium,2023-11-21,2024-02-05,199,US
405,Basic,2023-02-24,,799,Australia
406,Premium,2023-09-23,2023-10-14,399,Germany
407,Basic,2023-02-11,2023-08-03,199,
408,Basic,2023-10-24,,399,India
409,Premium,2023-08-19,,399,
410,Basic,2023-01-10,2023-11-12,199,India
411,Basic,2023-12-24,,799,Germany
412,,2023-05-08,,199,
413,,2023-06-28,2024-01-28,199,
414,Standard,2023-07-12,,199,
415,Standard,2023-04-02,,399,
416,Basic,2023-08-19,,,US
417,Basic,2023-03-19,,799,UK
418,Basic,2023-03-26,,799,
419,Standard,2023-01-30,,199,US
420,Premium,2023-08-01,2023-07-29,199,Germany
421,Premium,2023-02-18,2023-03-19,399,
422,Premium,2023-09-22,,199,Australia
423,Basic,2023-05-25,,799,
424,Standard,2023-03-10,,399,
425,Basic,2023-02-27,2023-04-27,,India
426,Standard,2023-07-04,2024-02-19,199,Australia
427,Basic,2023-03-03,,399,
428,Premium,2023-11-04,,399,
429,Basic,2023-10-23,2023-02-18,199,
430,Basic,2023-06-15,,399,US
431,Basic,2023-06-20,,199,Germany
432,Premium,2023-03-04,,199,India
433,Standard,2023-05-27,,199,
434,Basic,2023-11-02,,199,Germany
435,Basic,2023-06-10,,399,India
436,Standard,2023-05-21,,199,India
437,Basic,2023-11-30,,199,India
438,Premium,2023-04-07,,199,
439,Standard,2023-08-09,,199,US
440,Basic,2023-02-12,,199,
441,Basic,2023-10-19,,199,
442,,2023-04-18,,399,Germany
443,Basic,2023-09-23,,399,UK
444,Basic,2023-04-05,2023-03-17,399,UK
445,Premium,2023-09-19,2024-02-20,799,UK
446,Premium,2023-11-09,,399,Germany
447,,2023-03-12,,399,Australia
448,Premium,2023-08-07,,799,Germany
449,Basic,2023-01-21,,199,India
450,Basic,2023-04-02,,399,
451,Premium,2023-05-07,,199,Australia
452,Standard,2023-03-21,2023-03-27,199,India
453,Basic,2023-11-08,,799,
454,Premium,2023-08-26,,199,
455,Basic,2023-07-01,2023-09-16,199,India
456,Standard,2023-01-25,,199,Germany
457,Basic,2023-06-05,,199,UK
458,Standard,2023-01-05,2023-06-24,199,Australia
459,Basic,2023-04-30,2023-05-02,399,
460,Basic,2023-10-04,,799,US
461,Basic,2023-01-18,,799,
462,Standard,2023-07-17,2023-04-22,199,UK
463,Standard,2023-02-26,2023-09-12,,
464,Standard,2023-04-03,,399,US
465,,2023-01-19,,199,Germany
466,Basic,2023-12-19,,799,
467,Basic,2023-07-12,2023-04-19,399,Australia
468,Premium,2023-08-25,,399,Germany
469,Basic,2023-10-04,,199,US
470,,2023-08-15,,399,India
471,Basic,2023-08-21,,799,
472,,2023-02-09,,399,Germany
473,Basic,2023-11-19,,399,
474,Premium,2023-06-02,,399,Australia
475,Standard,2023-05-07,,799,
476,,2023-08-25,,199,Germany
477,Basic,2023-02-24,,399,UK
478,Standard,2023-06-21,,199,Germany
479,,2023-04-19,2023-06-29,399,US
480,Standard,2023-12-20,,399,Germany
481,Standard,2023-07-03,2024-01-26,199,Australia
482,Standard,2023-07-17,,399,Germany
483,Standard,2023-03-28,2023-11-09,199,Germany
484,Standard,2023-07-20,,199,Australia
485,Standard,2023-12-03,,199,Germany
486,Premium,2023-11-18,,199,Australia
487,Basic,2023-10-02,,199,US
488,Basic,2023-07-30,,199,Australia
489,,2023-04-28,,399,US
490,Premium,2023-07-10,,799,US
491,Standard,2023-02-11,2023-12-07,399,Australia
492,Standard,2023-02-11,,199,Germany
493,Basic,2023-11-11,,799,
494,Basic,2023-10-03,2023-07-09,399,UK
495,Standard,2023-11-25,,199,
496,Basic,2023-01-17,,799,Australia
497,Standard,2023-10-10,,199,Germany
498,Basic,2023-09-15,,399,US
499,,2023-03-04,,399,India
500,,2023-03-03,2023-12-12,199,UK
501,Standard,2023-04-10,2024-01-30,799,
502,Standard,2023-01-19,,199,Germany
503,Basic,2023-01-17,2023-07-05,199,UK
504,Premium,2023-11-21,2023-07-05,799,India
505,Standard,2023-09-03,,799,India
506,Basic,2023-09-08,,399,India
507,Premium,2023-03-22,,399,
508,Premium,2023-02-08,,199,Australia
509,Premium,2023-02-05,,799,UK
510,Standard,2023-07-16,,199,Australia
511,Standard,2023-06-07,,199,India
512,Basic,2023-07-23,,399,Germany
513,Premium,2023-07-15,,199,India
514,Premium,2023-08-04,,199,Australia
515,Basic,2023-10-12,2024-02-10,199,India
516,Basic,2023-07-15,,199,India
517,Basic,2023-11-03,,199,Australia
518,Premium,2023-06-01,,199,Australia
519,,2023-01-14,,199,Germany
520,Basic,2023-11-21,,399,Australia
521,Standard,2023-05-26,2023-08-20,799,Germany
522,Basic,2023-02-26,2024-03-14,399,US
523,,2023-07-30,,399,US
524,Premium,2023-09-25,,199,Australia
525,Premium,2023-07-29,2024-01-06,199,India
526,Standard,2023-01-17,,199,UK
527,Basic,2023-10-13,2024-01-07,399,India
528,Basic,2023-12-10,,399,Australia
529,Basic,2023-07-22,2023-05-27,399,Germany
530,Premium,2023-04-09,,199,India
531,Premium,2023-10-06,,199,US
532,,2023-07-28,,799,
533,,2023-05-09,,199,Australia
534,Standard,2023-12-01,,399,India
535,Premium,2023-10-15,,399,
536,Premium,2023-09-09,,399,India
537,Premium,2023-09-22,,799,Germany
538,Basic,2023-09-28,,799,Germany
539,Standard,2023-07-07,,399,Germany
540,Basic,2023-08-02,,399,
541,,2023-10-10,2023-07-03,199,UK
542,Standard,2023-07-30,,799,
543,Basic,2023-12-31,2024-01-29,399,Australia
544,Standard,2023-03-17,2023-12-27,199,Australia
545,Standard,2023-05-28,2023-05-29,199,US
546,Basic,2023-11-17,2023-08-17,199,US
547,Basic,2023-08-01,2024-03-06,399,Australia
548,Standard,2023-04-19,,399,India
549,Standard,2023-05-09,2023-10-20,199,Australia
550,Premium,2023-01-10,,199,UK
551,Standard,2023-02-16,2023-08-02,799,US
552,Premium,2023-11-11,,799,US
553,Standard,2023-04-06,,799,
554,Standard,2023-04-13,,199,US
555,Premium,2023-12-08,,799,Australia
556,Basic,2023-05-26,,399,US
557,Basic,2023-01-27,,199,US
558,Basic,2023-08-08,2023-06-27,199,
559,Premium,2023-01-18,,199,Australia
560,Standard,2023-06-16,,199,India
561,Standard,2023-03-23,,,US
562,Basic,2023-03-13,,199,US
563,Basic,2023-11-06,,199,US
564,Basic,2023-09-11,,399,UK
565,Basic,2023-06-11,,199,Australia
566,Standard,2023-11-23,,399,US
567,Basic,2023-02-07,2023-07-15,199,UK
568,Basic,2023-07-20,,799,India
569,Premium,2023-07-19,,199,India
570,Basic,2023-09-12,2023-04-15,399,
571,Standard,2023-06-28,2023-09-23,399,
572,Premium,2023-02-04,,799,
573,Basic,2023-03-23,,799,UK
574,Standard,2023-08-08,2023-12-10,399,India
575,Premium,2023-06-07,,199,
576,Premium,2023-01-04,2023-10-29,399,Germany
577,Basic,2023-06-16,,799,
578,Premium,2023-07-23,,799,India
579,Standard,2023-07-13,,199,Germany
580,Basic,2023-08-23,,199,UK
581,Standard,2023-07-25,,799,Germany
582,,2023-05-30,,199,India
583,Standard,2023-06-08,2023-07-28,199,US
584,Basic,2023-10-06,,199,Germany
585,Standard,2023-10-31,,399,India
586,Basic,2023-06-15,,,
587,Basic,2023-11-07,,399,US
588,Basic,2023-03-09,2023-11-09,199,UK
589,Basic,2023-03-29,2023-03-22,199,UK
590,Basic,2023-08-05,2023-04-15,199,Australia
591,Basic,2023-01-01,,399,UK
592,Standard,2023-05-15,,399,Australia
593,Basic,2023-07-04,,199,UK
594,Basic,2023-12-17,,399,UK
595,Premium,2023-05-20,,399,UK
596,Standard,2023-04-16,,199,Australia
597,Standard,2023-05-13,2023-06-23,199,
598,Basic,2023-04-18,,,Australia
599,Basic,2023-06-27,2024-01-08,199,Germany
600,Basic,2023-10-25,2023-08-06,799,India
601,Basic,2023-12-24,,399,India
602,Basic,2023-12-25,,799,
603,Basic,2023-05-26,,799,India
604,Basic,2023-03-15,,399,UK
605,Basic,2023-04-18,,799,
606,Standard,2023-05-02,,799,India
607,Basic,2023-01-17,,399,Australia
608,Basic,2023-07-15,,199,Germany
609,Standard,2023-11-23,,199,US
610,Standard,2023-11-14,2023-06-02,799,Germany
611,Basic,2023-10-24,,399,India
612,Premium,2023-09-09,,199,
613,Standard,2023-04-29,,199,India
614,Basic,2023-06-11,,399,Australia
615,Premium,2023-07-17,,199,Germany
616,Premium,2023-02-14,2023-12-28,399,Australia
617,Basic,2023-11-10,,399,Australia
618,Basic,2023-06-28,,399,US
619,Premium,2023-02-13,2023-10-08,199,Australia
620,Standard,2023-09-28,,199,Australia
621,Basic,2023-03-19,,199,US
622,Basic,2023-11-22,2023-11-22,199,UK
623,Basic,2023-06-27,,399,UK
624,Standard,2023-12-23,,399,
625,Standard,2023-01-03,,199,US
626,Basic,2023-08-02,,199,
627,Standard,2023-12-08,2023-12-19,199,
628,Standard,2023-03-15,2023-06-09,,Australia
629,Basic,2023-02-20,,399,
630,Basic,2023-03-08,,799,India
631,Standard,2023-11-28,,799,Germany
632,Premium,2023-04-03,,399,India
633,Standard,2023-06-25,,399,India
634,Standard,2023-05-25,,199,Australia
635,Basic,2023-01-07,2023-10-09,399,Germany
636,Basic,2023-09-26,2024-01-23,199,
637,Standard,2023-11-18,2023-07-29,799,Germany
638,Basic,2023-01-04,,199,
639,Basic,2023-05-18,2024-03-13,799,UK
640,Basic,2023-08-19,,199,US
641,Basic,2023-03-29,,799,Australia
642,Basic,2023-01-17,,199,
643,Basic,2023-02-21,,399,
644,Basic,2023-05-14,,399,Germany
645,Basic,2023-07-30,,199,Australia
646,Premium,2023-11-21,,399,
647,Standard,2023-08-07,,799,UK
648,Standard,2023-07-24,,199,India
649,Premium,2023-07-30,,799,
650,Standard,2023-10-04,,399,Germany
651,Basic,2023-01-24,,799,UK
652,Standard,2023-01-04,,199,Australia
653,Standard,2023-06-01,,399,
654,Standard,2023-09-16,,799,UK
655,Basic,2023-11-20,,199,UK
656,Basic,2023-12-23,,399,UK
657,Basic,2023-06-17,,199,UK
658,Basic,2023-06-25,,199,UK
659,Standard,2023-11-06,,399,UK
660,Standard,2023-10-18,,399,US
661,Basic,2023-02-25,2024-01-14,399,Australia
662,,2023-04-18,,199,India
663,Standard,2023-10-23,,199,Australia
664,Basic,2023-11-20,2023-05-20,199,Germany
665,Basic,2023-10-29,,399,Germany
666,Basic,2023-11-30,,799,Australia
667,Basic,2023-05-21,,799,UK
668,Basic,2023-06-04,,199,US
669,Basic,2023-09-19,,799,India
670,Basic,2023-09-30,,399,
671,Basic,2023-08-20,,399,
672,Premium,2023-08-29,2024-01-03,199,UK
673,Basic,2023-12-21,,399,Australia
674,Standard,2023-12-03,,199,
675,Basic,2023-09-15,,199,Australia
676,,2023-09-06,,199,US
677,Basic,2023-03-18,,199,US
678,Basic,2023-06-29,,199,Australia
679,,2023-03-07,,199,UK
680,Premium,2023-11-04,,199,UK
681,Premium,2023-12-14,,399,UK
682,Basic,2023-06-20,,199,
683,Basic,2023-01-22,2023-04-18,399,India
684,Standard,2023-04-17,,199,India
685,Premium,2023-11-19,2023-02-01,799,UK
686,Standard,2023-08-15,2023-12-17,799,Australia
687,Standard,2023-08-04,,199,US
688,Basic,2023-03-10,,399,Germany
689,Premium,2023-03-25,,199,US
690,Basic,2023-04-13,,799,US
